                                 The SAS System                                1
                                               14:19 Thursday, September 1, 2016

Obs gvkey      fyear    tic

  1 001045      2015    AAL     
  2 001076      2015    AAN     
  3 001078      2015    ABT     
  4 001166      2015    ASMIY   
  5 001209      2015    APD     
  6 001230      2015    ALK     
  7 001254      2015    MATX    
  8 001257      2015    ALX     
  9 001300      2015    HON     
 10 001327      2015    SWKS    

Obs conm                                                                      at

  1 AMERICAN AIRLINES GROUP INC                                       48415.0000
  2 AARON'S INC                                                        2658.8750
  3 ABBOTT LABORATORIES                                               41247.0000
  4 ASM INTERNATIONAL NV                                               2174.2020
  5 AIR PRODUCTS & CHEMICALS INC                                      17438.1000
  6 ALASKA AIR GROUP INC                                               6533.0000
  7 MATSON INC                                                         1669.8000
  8 ALEXANDER'S INC                                                    1447.8080
  9 HONEYWELL INTERNATIONAL INC                                       49316.0000
 10 SKYWORKS SOLUTIONS INC                                             3719.4000

Obs               csho                   ni                 sale        sich

  1           624.6220            7610.0000           40990.0000        4512
  2            72.6000             135.7090            3179.7560        7359
  3          1472.6650            4423.0000           20405.0000        2834
  4            61.7060             167.1490             727.1410           .
  5           215.3590            1277.9000            9894.9000        2810
  6           125.1750             848.0000            5598.0000        4512
  7            43.5000             103.0000            1884.9000        4400
  8             5.1060              76.9070             207.9150        6798
  9           770.4000            4768.0000           38581.0000        3822
 10           190.3000             798.3000            3258.4000        3674

Obs             prcc_f    sale_lag      roa       growth

  1            42.3500    42650.00    0.15718    -0.03892
  2            22.3900     2725.24    0.05104     0.16678
  3            44.9100    20247.00    0.10723     0.00780
  4            38.0000      660.24    0.07688     0.10134
  5           127.5800    10439.00    0.07328    -0.05212
  6            80.5100     5368.00    0.12980     0.04285
  7            42.6300     1714.20    0.06168     0.09958
  8           384.1100      200.81    0.05312     0.03536
  9           103.5700    40306.00    0.09668    -0.04280
 10            84.2100     2291.50    0.21463     0.42195
